song_names,artists,artists_id,albums,time_played,duration_ms,track_ids,albums_image,id,genres
Leave Me Like This,Skrillex,5he5w2lnU9x7JFhnwcekXX,Leave Me Like This,2023-03-03 18:27,188571,7vzWtCVhEKDmDkMmT3AiUL,https://i.scdn.co/image/ab67616d00001e02b4690e28c288cb199a41f1a3,0z3v96iyxiboop7dngb52qob0,['brostep'; 'complextro'; 'edm'; 'electro']
Leggera,Levante,5mTg1ztZByLRHsOEtwmT4G,Opera Futura,2023-02-17 11:45:18,185169,5PqnteIl9gHFjsLcKtiOfg,https://i.scdn.co/image/ab67616d00001e02c6853b78a4cafb349c372cb4,0z3v96iyxiboop7dngb52qob0,"['italian adult pop', 'italian indie pop', 'italian pop', 'turin indie']"
Alma Futura,Levante,5mTg1ztZByLRHsOEtwmT4G,Opera Futura,2023-02-17 12:59:27,213076,6jegGgwW1MilnwAvnhoORl,https://i.scdn.co/image/ab67616d00001e02c6853b78a4cafb349c372cb4,0z3v96iyxiboop7dngb52qob0,"['italian adult pop', 'italian indie pop', 'italian pop', 'turin indie']"
Don’t Go,Skrillex,5he5w2lnU9x7JFhnwcekXX,Don’t Get Too Close,2023-02-19 09:26:12,168253,4pNlvXL8f51vWOOQ8lxCWV,https://i.scdn.co/image/ab67616d00001e02ff07469efd357665e364e2d9,0z3v96iyxiboop7dngb52qob0,"['brostep', 'complextro', 'edm', 'electro']"
Don’t Get Too Close,Skrillex,5he5w2lnU9x7JFhnwcekXX,Don’t Get Too Close,2023-02-19 09:29:51,244285,3IbCVIJEnsiaDRedhFaWVG,https://i.scdn.co/image/ab67616d00001e02ff07469efd357665e364e2d9,0z3v96iyxiboop7dngb52qob0,"['brostep', 'complextro', 'edm', 'electro']"
Michelle Pfeiffer (feat. Tony Effe),Rose Villain,2aya6KuqjXEhHBqYKsTPLs,Michelle Pfeiffer (feat. Tony Effe),2023-02-23 12:17:45,180774,1CGMJZj8kKIuK9kkO2TT7c,https://i.scdn.co/image/ab67616d00001e0245fe89a2dfbd0e009bf4d8a3,0z3v96iyxiboop7dngb52qob0,"['italian hip hop', 'italian indie pop', 'milan indie']"
sci@ll@ (feat. Tananai),thasup,19i93sA0D7yS9dYoVNBqAA,c@ra++ere s?ec!@le,2023-02-23 12:21:30,184794,53qZFgUIQKnFmdgsSDIYB1,https://i.scdn.co/image/ab67616d00001e0290160a76ca2d3f0c101037f5,0z3v96iyxiboop7dngb52qob0,"['italian hip hop', 'italian pop', 'trap italiana']"
BUBBLE (feat. thasup & Salmo),Takagi & Ketra,76UCIJTB0jcJvBaL0CdIqx,BUBBLE (feat. thasup & Salmo),2023-02-23 12:25:02,164327,3fIB4IEcvjlzItwnFUvIBk,https://i.scdn.co/image/ab67616d00001e02298c0e2c8d980a62c77c11be,0z3v96iyxiboop7dngb52qob0,"['italian adult pop', 'italian pop']"
0ffline (feat. bbno$),thasup,19i93sA0D7yS9dYoVNBqAA,23 6451,2023-02-23 12:29:09,201094,6ZWsKJdmoYu1oFJbzCmtK9,https://i.scdn.co/image/ab67616d00001e0258010f854f0b1052a934500f,0z3v96iyxiboop7dngb52qob0,"['italian hip hop', 'italian pop', 'trap italiana']"
SOLITE PARE (feat. thasup & Sfera Ebbasta),Sick Luke,0hk4xVujcyOr6USD95wcWb,X2,2023-02-23 12:32:38,211660,0PQxC8NHgiKXLK3Zm6QoCj,https://i.scdn.co/image/ab67616d00001e02e45f97fc68a12ca3601b1047,0z3v96iyxiboop7dngb52qob0,"['italian hip hop', 'italian indie pop', 'trap italiana']"
Calling My Name,Drake,3TVXtAsR1Inumwj472S9r4,"Honestly, Nevermind",2023-02-23 12:37:09,129964,7sT7kZEYd1MrmzLLIRVZas,https://i.scdn.co/image/ab67616d00001e028dc0d801766a5aa6a33cbe37,0z3v96iyxiboop7dngb52qob0,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
Sticky,Drake,3TVXtAsR1Inumwj472S9r4,"Honestly, Nevermind",2023-02-23 12:41:12,243227,4rmVZajAF7PkrCagGPHbqa,https://i.scdn.co/image/ab67616d00001e028dc0d801766a5aa6a33cbe37,0z3v96iyxiboop7dngb52qob0,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
Massive,Drake,3TVXtAsR1Inumwj472S9r4,"Honestly, Nevermind",2023-02-23 12:46:49,336924,28JBD8p18xNuOfyV7Cotdn,https://i.scdn.co/image/ab67616d00001e028dc0d801766a5aa6a33cbe37,0z3v96iyxiboop7dngb52qob0,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
8rosk1 - feat. Mahmood,thasup,19i93sA0D7yS9dYoVNBqAA,23 6451,2023-02-23 13:27:27,171733,1QNKZT93PI9CZJ7FWFEinb,https://i.scdn.co/image/ab67616d00001e0258010f854f0b1052a934500f,0z3v96iyxiboop7dngb52qob0,"['italian hip hop', 'italian pop', 'trap italiana']"
